Symbol,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
WQNI,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-1.6112998437796773,-0.2847255820655213,-0.340497192902029,-0.3865680081521289,-0.129856404,-0.296122166,0.08881842699999999,-0.667432029
BBGI,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9502077250579802,0.7016754791402818,-0.20600157759408647,-0.03839240415257931,-0.2611478435225852,-0.058333333,-0.133333333,-0.175,-0.25
UTSI,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,0.31617959198695533,-0.12347691120993771,0.2637123845968704,-0.1647884487462285,0.5121951220000001,0.448170732,1.042682927,-0.134146341
SLAB,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,0.31617959198695533,-0.21379852372384517,1.834657286094009,-0.3728023803269351,0.033730158999999996,0.34920634899999997,0.19047619,-0.14285714300000002
ALTH,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,0.05918233388473768,-0.22408266772295346,0.2637123845968704,-0.3177398690261598,-0.11666666699999999,-0.054000000000000006,-0.39133333299999995,-0.3
WBSN,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-1.2258039566263508,-0.2442038190255566,0.2637123845968704,-0.34833015308214604,0.409565275,0.27536231899999997,-0.18840579699999999,-0.246376812
MET,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.1835527153909913,-1.3543025856774595,2.8930190215719844,-0.18944479852730417,5.708546090003133,0.060344875,0.051724201,0.198275896,0.500000039
LPSN,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-0.968806698524133,-0.2889174885868969,-0.9447067704009284,-0.34833015308214604,0.185714286,-0.085714286,-0.085714286,-0.042857143
HSTM,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-0.7118094404219153,-0.2743855459794613,-0.8238648549011486,-0.3177398690261598,-0.031136505,-0.169545575,-0.169545575,-0.391000089
PXLW,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-0.8403080694730242,-0.2604125242415425,-0.7030229394013687,-0.2947971559841701,-0.016666667,0.066666667,0.7888888890000001,1.522222222
CYH,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9502077250579802,0.8301741081913907,-0.05221450034655156,-0.340497192902029,0.10287653674365127,0.01401863,0.046728979000000004,0.21028035899999997,0.7476635690000001
CRL,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0170879452824657,2.886152173009132,-0.07429187469246334,0.022028553597310634,-0.04242731252228346,0.115384615,0.086538462,0.240384615,0.173076923
QBAK,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-1.0973053275752418,-0.3051261938028828,-1.0655486859007084,-0.39421557916612543,0.082644628,-0.02892562,0.289256198,0.450413223
ACLS,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,0.31617959198695533,0.05649560877445711,0.7470800465959899,0.0034581135616959234,-0.1,-0.113636364,-0.384090909,-0.625
SOHU,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,-1.2258039566263508,-0.2578414882417654,-0.340497192902029,-0.3299759826485543,0.007198109,-0.19664344,-0.5011971270000001,-0.597120756
