1D,1M,1W,3M,Company Name,Date Priced,Market,Offer Amount,Price,Shares,Symbol
,,,,ALLEGRO MERGER CORP.,2018-07-03 00:00:00,NASDAQ Capital,130000000.0,10.0,13000000,ALGRU
-0.1871345029239766,0.052631578947368585,-0.17153996101364521,,AMBOW EDUCATION HOLDING LTD.,2018-06-01 00:00:00,NYSE MKT,7650000.0,4.25,1800000,AMBO
0.13735637931034494,,0.2775862068965518,,APTINYX INC.,2018-06-21 00:00:00,NASDAQ Global Select,102399984.0,16.0,6399999,APTX
-0.11785710714285713,,-0.06285714285714294,,AUTOLUS THERAPEUTICS PLC,2018-06-22 00:00:00,NASDAQ Global Select,150000010.0,17.0,8823530,AUTL
0.3288570857142856,,0.5420000285714286,,AVALARA INC,2018-06-15 00:00:00,NYSE,180000000.0,24.0,7500000,AVLR
0.05932203389830515,,0.03389830508474567,,"AVROBIO, INC.",2018-06-21 00:00:00,NASDAQ Global Select,99711202.0,19.0,5247958,AVRO
0.05411764705882338,,0.11529416470588227,,"BJ'S WHOLESALE CLUB HOLDINGS, INC.",2018-06-28 00:00:00,NYSE,637500000.0,17.0,37500000,BJ
0.005647105882353065,,,,"BRIGHTVIEW HOLDINGS, INC.",2018-06-28 00:00:00,NYSE,468600000.0,22.0,21300000,BV
0.004255319148936287,,-0.04680851063829794,,"CHARAH SOLUTIONS, INC.",2018-06-14 00:00:00,NYSE,88235292.0,12.0,7352941,CHRA
0.06848743985241335,,,,"DOMO, INC.",2018-06-29 00:00:00,NASDAQ Global,193200000.0,21.0,9200000,DOMO
0.11111111111111116,,-0.030000055555555516,,"ELECTROCORE, INC.",2018-06-22 00:00:00,NASDAQ Global,78000000.0,15.0,5200000,ECOR
0.13350000000000017,,0.018000049999999934,,"EIDOS THERAPEUTICS, INC.",2018-06-20 00:00:00,NASDAQ Global Select,106250000.0,17.0,6250000,EIDX
-0.16986301369863022,,,,ENTERA BIO LTD.,2018-06-28 00:00:00,NASDAQ Capital,11200000.0,8.0,1400000,ENTX
0.01927353595255754,,0.012601927353595332,,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",2018-06-21 00:00:00,NYSE,455000000.0,14.0,32500000,EPRT
,,,,"EVERQUOTE, INC.",2018-06-28 00:00:00,NASDAQ Global,84375000.0,18.0,4687500,EVER
,,,,FAR POINT ACQUISITION CORP,2018-06-12 00:00:00,NYSE,550000000.0,10.0,55000000,FPACU
0.05862758161225856,,,,"FORTY SEVEN, INC.",2018-06-28 00:00:00,NASDAQ Global,112560000.0,16.0,7035000,FTSV
-0.0031746031746030523,,-0.004761904761904856,,WORLD GOLD TRUST,2018-06-26 00:00:00,NYSE Arca,1038400000.0,12.98,80000000,GLDM
,,,,GS ACQUISITION HOLDINGS CORP,2018-06-08 00:00:00,NYSE,600000000.0,10.0,60000000,GSAHU
,,,,HL ACQUISITIONS CORP.,2018-06-28 00:00:00,NASDAQ Capital,50000000.0,10.0,5000000,HCCHU
-0.03677758318739055,,-0.10683012259194402,,HYRECAR INC.,2018-06-27 00:00:00,NASDAQ Capital,12600000.0,5.0,2520000,HYRE
0.05762700239395446,,-0.1666667137476433,,"I3 VERTICALS, INC.",2018-06-21 00:00:00,NASDAQ Global Select,86450000.0,13.0,6650000,IIIV
-0.10950005000000007,,-0.11349999999999993,,"KEZAR LIFE SCIENCES, INC.",2018-06-21 00:00:00,NASDAQ Global Select,75000000.0,15.0,5000000,KZR
,,-0.003992015968063756,,LF CAPITAL ACQUISITION CORP.,2018-06-20 00:00:00,NASDAQ Capital,135000000.0,10.0,13500000,LFACU
-0.04038384646141546,,-0.16713314674130364,,LOVESAC CO,2018-06-27 00:00:00,NASDAQ Global,56000000.0,16.0,3500000,LOVE
-0.06382978723404253,,-0.09413281753707281,,"MAGENTA THERAPEUTICS, INC.",2018-06-21 00:00:00,NASDAQ Global,100000005.0,15.0,6666667,MGTA
-0.0006662225183211579,,-0.04730179880079943,,MEIRAGTX HOLDINGS PLC,2018-06-08 00:00:00,NASDAQ Global Select,75000000.0,15.0,5000000,MGTX
0.3905881764705883,,0.3705881764705883,,PUXIN LTD,2018-06-15 00:00:00,NYSE,122400000.0,17.0,7200000,NEW
,,,,NEW FRONTIER CORP,2018-06-28 00:00:00,NYSE,250000000.0,10.0,25000000,NFC'U
-0.06312499999999999,,-0.20499999999999996,,"NEON THERAPEUTICS, INC.",2018-06-27 00:00:00,NASDAQ Global Select,100000000.0,16.0,6250000,NTGN
,,,,"NEURONETICS, INC.",2018-06-28 00:00:00,NASDAQ Global,93500000.0,17.0,5500000,STIM
0.008695652173912993,,,,"TRANSLATE BIO, INC.",2018-06-28 00:00:00,NASDAQ Global Select,121550000.0,13.0,9350000,TBIO
,,,,THUNDER BRIDGE ACQUISITION LTD,2018-06-19 00:00:00,NASDAQ Global Select,225000000.0,10.0,22500000,TBRGU
,,,,"TRICIDA, INC.",2018-06-28 00:00:00,NASDAQ Global Select,222300000.0,19.0,11700000,TCDA
,,,,TWELVE SEAS INVESTMENT CO,2018-06-20 00:00:00,NASDAQ Capital,180000000.0,10.0,18000000,TWLVU
,,,,US XPRESS ENTERPRISES INC,2018-06-14 00:00:00,NYSE,288896000.0,16.0,18056000,USX
,,,,UXIN LTD,2018-06-27 00:00:00,NASDAQ Global Select,225000000.0,9.0,25000000,UXIN
,,,,VERRICA PHARMACEUTICALS INC.,2018-06-15 00:00:00,NASDAQ Global,75000000.0,15.0,5000000,VRCA
,,,,XERIS PHARMACEUTICALS INC,2018-06-21 00:00:00,NASDAQ Global Select,85500000.0,15.0,5700000,XERS
0.0047244094488190225,-0.1213779921259842,-0.09842519685039376,-0.18492129921259848,ETF MANAGERS GROUP COMMODITY TRUST I,2018-03-22 00:00:00,NYSE Arca,250000000.0,25.0,10000000,BDRY
0.1734693877551019,0.12857142857142856,0.12244897959183665,0.6857142857142855,BILIBILI INC.,2018-03-28 00:00:00,NASDAQ Global Select,483000000.0,11.5,42000000,BILI
-0.1852173913043479,-0.12521734782608684,-0.221304347826087,-0.13869569565217402,"HOMOLOGY MEDICINES, INC.",2018-03-28 00:00:00,NASDAQ Global Select,144000000.0,16.0,9000000,FIXX
-0.013636363636363669,-0.032727272727272716,-0.054545454545454564,0.0663636363636364,ONESMART INTERNATIONAL EDUCATION GROUP LTD,2018-03-28 00:00:00,NYSE,179300000.0,11.0,16300000,ONE
-0.15611811293977496,-0.02278480492289836,-0.08378537976318423,0.0718505933158744,SPOTIFY TECHNOLOGY S.A.,2018-04-03 00:00:00,NYSE,9245852532.0,165.9,55731480,SPOT
-0.06382978723404252,0.0042553191489362865,-0.07234042553191489,0.18382978723404264,UNUM THERAPEUTICS INC.,2018-03-29 00:00:00,NASDAQ Global Select,69240000.0,12.0,5770000,UMRX
-0.129856404,0.08881842699999999,-0.296122166,-0.667432029,"WQN, INC.",2000-02-04,NASDAQ,35750000.0,13.0,2750000,WQNI
-0.058333333,-0.175,-0.133333333,-0.25,BEASLEY BROADCAST GROUP INC,2000-02-11,NASDAQ,106175000.0,15.5,6850000,BBGI
0.5121951220000001,1.042682927,0.448170732,-0.134146341,UTSTARCOM HOLDINGS CORP.,2000-03-03,NASDAQ,180000000.0,18.0,10000000,UTSI
0.033730159,0.19047619,0.349206349,-0.14285714300000002,SILICON LABORATORIES INC,2000-03-24,NASDAQ,99200000.0,31.0,3200000,SLAB
-0.116666667,-0.391333333,-0.054000000000000006,-0.3,ALLOS THERAPEUTICS INC,2000-03-28,NASDAQ,90000000.0,18.0,5000000,ALTH
0.409565275,-0.188405797,0.275362319,-0.246376812,WEBSENSE INC,2000-03-28,NASDAQ,72000000.0,18.0,4000000,WBSN
0.060344875,0.198275896,0.051724201,0.500000039,METLIFE INC,2000-04-05,New York Stock Exchange,2878500000.0,14.25,202000000,MET
0.185714286,-0.085714286,-0.085714286,-0.042857143,LIVEPERSON INC,2000-04-07,NASDAQ,32000000.0,8.0,4000000,LPSN
-0.031136505,-0.169545575,-0.169545575,-0.391000089,HEALTHSTREAM INC,2000-04-11,NASDAQ,45000000.0,9.0,5000000,HSTM
-0.016666667,0.7888888890000001,0.066666667,1.522222222,"PIXELWORKS, INC",2000-05-19,NASDAQ,57500000.0,10.0,5750000,PXLW
0.01401863,0.210280359,0.046728979,0.7476635690000001,COMMUNITY HEALTH SYSTEMS INC,2000-06-09,New York Stock Exchange,243750000.0,13.0,18750000,CYH
0.115384615,0.240384615,0.086538462,0.173076923,CHARLES RIVER LABORATORIES INTERNATIONAL INC,2000-06-23,New York Stock Exchange,224000000.0,16.0,14000000,CRL
0.082644628,0.289256198,-0.02892562,0.450413223,QUALSTAR CORP,2000-06-23,NASDAQ,17500000.0,7.0,2500000,QBAK
-0.1,-0.384090909,-0.113636364,-0.625,AXCELIS TECHNOLOGIES INC,2000-07-11,NASDAQ,341000000.0,22.0,15500000,ACLS
0.007198109,-0.5011971270000001,-0.19664344,-0.597120756,SOHU COM INC,2000-07-12,NASDAQ,59800000.0,13.0,4600000,SOHU
0.411290323,0.426409677,0.768145161,-0.370464516,SRTI BLOCKCHAIN GENERATION INC,2000-07-13,NASDAQ,60000000.0,15.0,4000000,SRTI
0.581896552,0.275862069,0.517241379,0.370689655,PAIN THERAPEUTICS INC,2000-07-14,NASDAQ,60000000.0,12.0,5000000,PTIE
0.31372549,0.102941176,0.333333333,-0.21507451,"SUPPORT.COM, INC.",2000-07-19,NASDAQ,59500000.0,14.0,4250000,SPRT
0.104166667,0.12202381,0.044642857,0.050595238,SMTC CORP,2000-07-21,NASDAQ,176000000.0,16.0,11000000,SMTX
-0.03125,0.236979167,-0.013020833,0.255208333,ARENA PHARMACEUTICALS INC,2000-07-28,NASDAQ,108000000.0,18.0,6000000,ARNA
-0.038461538,0.413461538,0.057692308,0.240384615,CAMTEK LTD,2000-07-28,NASDAQ,39200000.0,7.0,5600000,CAMT
0.28033472800000003,0.341004184,0.522486962,0.146443515,ILLUMINA INC,2000-07-28,NASDAQ,96000000.0,16.0,6000000,ILMN
-0.033557047,0.040268456,0.046979866,-0.167785235,ENTRAVISION COMMUNICATIONS CORP,2000-08-02,New York Stock Exchange,759000000.0,16.5,46000000,EVC
-0.052631579000000005,0.519736842,-0.207210526,-0.15789473699999998,DELTAGEN INC,2000-08-03,NASDAQ,105000000.0,15.0,7000000,DGEN
-0.029411765,-0.078431373,-0.05882352900000001,-0.529411765,EROOMSYSTEM TECHNOLOGIES INC,2000-08-03,NASDAQ,11700000.0,6.5,1800000,ERMS
-0.044117647,0.183823529,-0.029411765,-0.34926470600000004,LANTRONIX INC,2000-08-04,NASDAQ,60000000.0,10.0,6000000,LTRX
0.24738676,0.344947735,0.101045296,0.658536585,MEDICINES CO /DE,2000-08-08,NASDAQ,96000000.0,16.0,6000000,MDCO
0.026956895,0.083333333,-0.017160751999999998,-0.274509804,EQUINIX INC,2000-08-11,NASDAQ,240000000.0,12.0,20000000,EQIX
-0.220149254,-0.253731343,-0.182835821,-0.246268657,DURECT CORP,2000-09-28,NASDAQ,84000000.0,12.0,7000000,DRRX
0.1,0.2125,0.10625,0.5375,MONSANTO CO /NEW/,2000-10-18,New York Stock Exchange,700000000.0,20.0,35000000,MON
0.106741366,0.233146332,0.09971912,0.255617721,WIPRO LTD,2000-10-19,New York Stock Exchange,113795000.0,41.38,2750000,WIT
-0.034482759,0.245682759,0.077586207,-0.362068966,RIGEL PHARMACEUTICALS INC,2000-11-29,NASDAQ,35000000.0,7.0,5000000,RIGL
0.434782609,0.132407905,0.280632411,0.312252964,GARMIN LTD,2000-12-08,NASDAQ,147000000.0,14.0,10500000,GRMN
0.174311927,0.651376147,0.220183486,0.385321101,RESOURCES CONNECTION INC,2000-12-15,NASDAQ,78000000.0,12.0,6500000,RECN
0.2300123,0.061500615,0.414514145,0.136531365,PEETS COFFEE & TEA INC,2001-01-25,NASDAQ,26400000.0,8.0,3300000,PEET
0.013888973,0.371522288,0.010411139,0.216666728,"OIL STATES INTERNATIONAL, INC",2001-02-09,New York Stock Exchange,90000000.0,9.0,10000000,OIS
-0.003311258,-0.021192053,-0.009933775,0.124503311,ACCENTURE PLC,2001-07-19,New York Stock Exchange,1667500000.0,14.5,115000000,ACN
0.025589764,-0.18632547,0.02754894,-0.240303878,MEDCATH CORP,2001-07-24,NASDAQ,150000000.0,25.0,6000000,MDTH
0.029268293,0.085365854,0.043902439,0.185365805,PRINCIPAL FINANCIAL GROUP INC,2001-10-23,New York Stock Exchange,1850000000.0,18.5,100000000,PFG
-0.008075337,0.128869453,0.048115782,0.211305559,WEIGHT WATCHERS INTERNATIONAL INC,2001-11-15,New York Stock Exchange,417600000.0,24.0,17400000,WTW
0.027491409,0.056701031,0.0395189,0.052577285,PRUDENTIAL FINANCIAL INC,2001-12-13,New York Stock Exchange,3025000000.0,27.5,110000000,PRU
0.004576659,-0.022120481,-0.001525629,0.437833753,SYNAPTICS INC,2002-01-29,NASDAQ,55000000.0,11.0,5000000,SYNA
0.076023392,0.102339181,0.143274795,0.256725146,MANTECH INTERNATIONAL CORP,2002-02-07,NASDAQ,115200000.0,16.0,7200000,MANT
0.05714285700000001,0.091948052,0.022337662,0.194805195,GAMESTOP HOLDINGS CORP,2002-02-13,New York Stock Exchange,324999990.0,18.0,18055555,GME
0.2086887,0.305970107,0.184168407,0.180437107,JETBLUE AIRWAYS CORP,2002-04-12,NASDAQ,158400009.0,27.0,5866667,JBLU
-0.103685197,-0.25983760100000003,-0.315427858,-0.462835728,VERINT SYSTEMS INC,2002-05-16,NASDAQ,72000000.0,16.0,4500000,VRNT
0.042285714,0.14800000000000002,0.085714286,0.183999943,COMPUTER PROGRAMS & SYSTEMS INC,2002-05-21,NASDAQ,49500000.0,16.5,3000000,CPSI
0.005996003000000001,0.062624917,0.015323118,-0.558960693,LIQUIDMETAL TECHNOLOGIES INC,2002-05-22,NASDAQ,75000000.0,15.0,5000000,LQMT
0.050030741,-0.150710506,-0.067326226,-0.200123829,NETFLIX INC,2002-05-23,NASDAQ,82500000.0,15.0,5500000,NFLX
-0.03871439,-0.006574142,-0.104455807,-0.485025566,"OVERSTOCK.COM, INC",2002-05-30,NASDAQ,39000000.0,13.0,3000000,OSTK
0.016666667,0.094666667,0.1,-0.152,PACER INTERNATIONAL INC,2002-06-13,NASDAQ,210000000.0,15.0,14000000,PACR
0.006917756,-0.196003075,0.029976941,-0.300538048,BIG 5 SPORTING GOODS CORP,2002-06-25,NASDAQ,104650000.0,13.0,8050000,BGFV
0.18300653600000005,0.352124183,0.176470588,0.7728758170000001,DICKS SPORTING GOODS INC,2002-10-16,New York Stock Exchange,87471780.0,12.0,7289315,DKS
-0.076923077,-0.17582417600000005,-0.120879121,-0.131868132,NATURAL GAS SERVICES GROUP INC,2002-10-22,American Stock Exchange,7500000.0,5.0,1500000,NGS
0.037288065,0.284745743,0.155932057,0.525423625,PRA GROUP INC,2002-11-08,NASDAQ,50700000.0,13.0,3900000,PRAA
0.04516129,-0.4,-0.070967742,-0.451612903,ON TRACK INNOVATIONS LTD,2002-11-12,NASDAQ,4843197.0,6.92,699884,OTIV
0.094871795,0.230769231,0.125897436,0.07974359,CME GROUP INC.,2002-12-06,New York Stock Exchange,166287450.0,35.0,4751070,CME
0.006557377,-0.012459016000000002,0.029508197000000007,0.055737705,PROVIDENT FINANCIAL SERVICES INC,2003-01-16,New York Stock Exchange,596183000.0,10.0,59618300,PFS
-0.011875,0.022500063,-0.001875,0.3175,INFINITY PROPERTY & CASUALTY CORP,2003-02-12,NASDAQ,198048000.0,16.0,12378000,IPCC
-0.074210526,0.023684263,-0.052631579000000005,0.035263158,FORMFACTOR INC,2003-06-12,NASDAQ,84000000.0,14.0,6000000,FORM
-0.030952357000000007,0.202381,0.071428571,0.197619,MOLINA HEALTHCARE INC,2003-07-02,New York Stock Exchange,115500000.0,17.5,6600000,MOH
0.010067108,-0.07181205,-0.023489847,0.016778585,CHUNGHWA TELECOM CO LTD,2003-07-18,New York Stock Exchange,1374160000.0,14.24,96500000,CHT
-0.060052219,-0.072584856,-0.115926893,-0.079895509,"NETGEAR, INC",2003-07-31,NASDAQ,98000000.0,14.0,7000000,NTGR
0.09004745800000001,0.030805748,0.06931280000000001,0.302132779,CAPITALSOURCE INC,2003-08-07,New York Stock Exchange,308850000.0,14.5,21300000,CSE
