Symbol,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
WQNI,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,35750000,13.0,2750000,-0.129856404,-0.296122166,0.08881842699999999,-0.667432029
BBGI,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,27,106175000,15.5,6850000,-0.058333333,-0.133333333,-0.175,-0.25
UTSI,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,24,180000000,18.0,10000000,0.5121951220000001,0.448170732,1.042682927,-0.134146341
SLAB,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,24,99200000,31.0,3200000,0.033730158999999996,0.34920634899999997,0.19047619,-0.14285714300000002
ALTH,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,22,90000000,18.0,5000000,-0.11666666699999999,-0.054000000000000006,-0.39133333299999995,-0.3
WBSN,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,72000000,18.0,4000000,0.409565275,0.27536231899999997,-0.18840579699999999,-0.246376812
MET,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,2878500000,14.25,202000000,0.060344875,0.051724201,0.198275896,0.500000039
LPSN,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,32000000,8.0,4000000,0.185714286,-0.085714286,-0.085714286,-0.042857143
HSTM,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,16,45000000,9.0,5000000,-0.031136505,-0.169545575,-0.169545575,-0.391000089
PXLW,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,15,57500000,10.0,5750000,-0.016666667,0.066666667,0.7888888890000001,1.522222222
CYH,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,28,243750000,13.0,18750000,0.01401863,0.046728979000000004,0.21028035899999997,0.7476635690000001
