Symbol,Neg Sent Signal compound,Neg Sent Signal neg,Neg Sent Signal neu,Neg Sent Signal pos,Pos Sent Signal compound,Pos Sent Signal neg,Pos Sent Signal neu,Pos Sent Signal pos,Mean Sent Len,Sent Count,Pos Mean Sent Len,Pos Sent Count,Neg Mean Sent Len,Neg Sent Count,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,MKT13,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
AACC,-0.3782437499999997,0.24529687499999997,0.6961093750000001,0.05859375000000001,0.807256923076923,0.0166,0.5938769230769232,0.3895076923076923,310.8277734678045,1289.0,210.2,65.0,127.515625,64.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,29,105000000.0,15.0,7000000,0.00240102,0.026410564,0.073229232,0.121248499
AAT,-0.4113691489361704,0.20636702127659562,0.721409574468085,0.07232978723404256,0.8141639784946234,0.01567741935483871,0.6518817204301074,0.33245698924731176,371.42080127354734,3769.0,259.5268817204301,186.0,211.08510638297872,188.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,27,563750000.0,20.5,27500000,-0.017185368,-0.010682861,-0.019507663,-0.008824941999999999
ABLX,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9,200025000.0,17.5,11430000,0.17030806699999998,0.161344538,0.314285658,1.438095238
ABR,-0.23845163934426236,0.2037786885245902,0.7059918032786884,0.09016393442622951,0.7923072580645161,0.018112903225806453,0.649491935483871,0.33239516129032237,333.32945891783567,2495.0,194.6451612903226,124.0,154.75409836065575,122.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,22,125450000.0,20.0,6272500,0.022443941,-0.030922645,-0.022443842,-0.003990025
ABTX,-0.4134459677419355,0.225717741935484,0.6981774193548389,0.07613709677419354,0.7925927419354836,0.01823387096774194,0.5872822580645161,0.3944838709677419,319.7869318181818,2464.0,171.45967741935485,124.0,174.4516129032258,124.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,27,54600000.0,21.0,2600000,0.027937961,-0.008869136,0.054989005,0.004878093
ACAD,-0.4531985915492957,0.2392816901408452,0.7023380281690139,0.05840845070422535,0.7750845070422538,0.015549295774647885,0.6487605633802814,0.3356760563380283,259.14914772727275,1408.0,169.8450704225352,71.0,167.08450704225353,71.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,26,35000000.0,7.0,5000000,-0.075268817,-0.112903226,-0.134408602,-0.233870968
ACFC,-0.39663642384105957,0.25021854304635766,0.687913907284768,0.061867549668874186,0.6497527027027024,0.023000000000000007,0.5543108108108105,0.4226824324324325,266.3033633033633,3003.0,117.14189189189189,148.0,123.25827814569537,151.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,27,58190000.0,10.0,5819000,0.036059777,0.093227754,0.130167134,0.218117919
ACIA,-0.40090434782608697,0.21355434782608682,0.7155760869565218,0.07085869565217391,0.7923634408602152,0.021107526881720434,0.6588817204301073,0.3200215053763442,354.0678610206298,1842.0,228.0215053763441,93.0,195.29347826086956,92.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,27,103500000.0,23.0,4500000,0.06862069,-0.01137931,0.282758655,1.25862069
ACIU,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,12,66000000.0,11.0,6000000,0.105598866,0.238837704,0.051736357,0.020552799
ACLS,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,24,341000000.0,22.0,15500000,-0.1,-0.113636364,-0.384090909,-0.625
