Symbol,Keywords Count,Keywords Similarity Top,Keywords Similarity Sum,Keywords Similarity Vect Min,Keywords Similarity Vect Max,Keywords Similarity Vect Sum,Keywords Similarity Vect Mean,Summary Signal compound,Summary Signal neg,Summary Signal neu,Summary Signal pos,Summary Mean Sent Len,Summary Sent Count,Neg Sent Signal compound,Neg Sent Signal neg,Neg Sent Signal neu,Neg Sent Signal pos,Pos Sent Signal compound,Pos Sent Signal neg,Pos Sent Signal neu,Pos Sent Signal pos,Mean Sent Len,Sent Count,Pos Mean Sent Len,Pos Sent Count,Neg Mean Sent Len,Neg Sent Count,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,MKT13,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
AACC,53.0,0.9994478225708008,426.5336229801178,0.9726117849349976,0.9950634241104126,29677.359944581985,0.985958802145581,0.3486375,0.1805,0.7484999999999999,0.071,1273.375,8.0,-0.3782437499999997,0.245296875,0.6961093750000001,0.058593750000000014,0.8072569230769231,0.0166,0.5938769230769232,0.3895076923076923,310.8277734678045,1289.0,210.2,65.0,127.515625,64.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,29,105000000.0,15.0,7000000,0.00240102,0.026410564,0.073229232,0.121248499
AAT,97.0,0.9998010396957397,920.8753850460052,0.9059035181999207,0.9950634241104126,64026.22980475426,0.9835058341744125,0.8052,0.0625,0.8167499999999999,0.1205,2191.25,4.0,-0.4113691489361704,0.2063670212765956,0.7214095744680851,0.07232978723404256,0.8141639784946234,0.01567741935483871,0.6518817204301074,0.33245698924731176,371.42080127354734,3769.0,259.5268817204301,186.0,211.0851063829787,188.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,27,563750000.0,20.5,27500000,-0.017185368,-0.010682861,-0.019507663,-0.008824941999999999
ABLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9,200025000.0,17.5,11430000,0.17030806699999998,0.161344538,0.314285658,1.438095238
ABR,69.0,0.9998010396957397,672.8594100475311,0.9059035181999207,0.9971225261688232,46771.346271038055,0.9825913082150852,0.57515,0.008375,0.861125,0.130375,1571.75,8.0,-0.2384516393442624,0.2037786885245902,0.7059918032786884,0.09016393442622953,0.7923072580645161,0.018112903225806453,0.649491935483871,0.3323951612903224,333.32945891783567,2495.0,194.64516129032262,124.0,154.75409836065575,122.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,22,125450000.0,20.0,6272500,0.022443941,-0.030922645,-0.022443842,-0.003990025
ABTX,76.0,0.9998010396957397,743.490957736969,0.9666858315467834,0.9950634241104126,51731.16635680199,0.9853555496533711,0.9769333333333332,0.059000000000000004,0.8133333333333334,0.12766666666666668,3917.333333333334,3.0,-0.4134459677419355,0.225717741935484,0.6981774193548389,0.07613709677419354,0.7925927419354836,0.01823387096774194,0.5872822580645161,0.3944838709677419,319.7869318181818,2464.0,171.45967741935485,124.0,174.45161290322582,124.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,27,54600000.0,21.0,2600000,0.027937961,-0.008869136,0.054989005,0.004878093
ACAD,61.0,0.982628345489502,603.8002419471741,0.9595867395401001,0.995518684387207,41963.15619945526,0.9827437049052754,0.9714666666666668,0.042666666666666665,0.8486666666666666,0.10866666666666668,3772.666666666666,3.0,-0.4531985915492957,0.2392816901408452,0.7023380281690139,0.05840845070422535,0.7750845070422538,0.015549295774647885,0.6487605633802814,0.3356760563380283,259.14914772727275,1408.0,169.8450704225352,71.0,167.08450704225353,71.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,26,35000000.0,7.0,5000000,-0.075268817,-0.112903226,-0.134408602,-0.233870968
ACFC,39.0,0.9998010396957397,377.09552854299545,0.9753004908561707,0.9971225261688232,26251.885932683945,0.9869130049881182,0.10652,0.0,0.967,0.033,165.13333333333333,15.0,-0.3966364238410596,0.2502185430463577,0.687913907284768,0.061867549668874186,0.6497527027027024,0.02300000000000001,0.5543108108108105,0.4226824324324325,266.3033633033633,3003.0,117.14189189189187,148.0,123.25827814569536,151.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,27,58190000.0,10.0,5819000,0.036059777,0.093227754,0.130167134,0.218117919
ACIA,78.0,0.9919329285621643,771.6021728515625,0.9059035181999207,0.9952081441879272,53624.76084828377,0.9821384770747943,-0.05172500000000002,0.10825,0.81725,0.07450000000000001,3544.75,4.0,-0.40090434782608697,0.2135543478260868,0.7155760869565218,0.07085869565217391,0.7923634408602152,0.02110752688172044,0.6588817204301073,0.3200215053763442,354.06786102062983,1842.0,228.0215053763441,93.0,195.2934782608696,92.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,27,103500000.0,23.0,4500000,0.06862069,-0.01137931,0.282758655,1.25862069
ACIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,12,66000000.0,11.0,6000000,0.105598866,0.238837704,0.051736357,0.020552799
ACLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,24,341000000.0,22.0,15500000,-0.1,-0.113636364,-0.384090909,-0.625
