Company Name,Date Priced,Market,Offer Amount,Price,Shares,Symbol,1D,1W,1M,3M
"WQN, INC.",2000-02-04,NASDAQ,35750000,13,2750000,WQNI,-0.129856404,-0.296122166,0.088818427,-0.667432029
BEASLEY BROADCAST GROUP INC,2000-02-11,NASDAQ,106175000,15.5,6850000,BBGI,-0.058333333,-0.133333333,-0.175,-0.25
UTSTARCOM HOLDINGS CORP.,2000-03-03,NASDAQ,180000000,18,10000000,UTSI,0.512195122,0.448170732,1.042682927,-0.134146341
SILICON LABORATORIES INC,2000-03-24,NASDAQ,99200000,31,3200000,SLAB,0.033730159,0.349206349,0.19047619,-0.142857143
ALLOS THERAPEUTICS INC,2000-03-28,NASDAQ,90000000,18,5000000,ALTH,-0.116666667,-0.054,-0.391333333,-0.3
WEBSENSE INC,2000-03-28,NASDAQ,72000000,18,4000000,WBSN,0.409565275,0.275362319,-0.188405797,-0.246376812
METLIFE INC,2000-04-05,New York Stock Exchange,2878500000,14.25,202000000,MET,0.060344875,0.051724201,0.198275896,0.500000039
LIVEPERSON INC,2000-04-07,NASDAQ,32000000,8,4000000,LPSN,0.185714286,-0.085714286,-0.085714286,-0.042857143
HEALTHSTREAM INC,2000-04-11,NASDAQ,45000000,9,5000000,HSTM,-0.031136505,-0.169545575,-0.169545575,-0.391000089
"PIXELWORKS, INC",2000-05-19,NASDAQ,57500000,10,5750000,PXLW,-0.016666667,0.066666667,0.788888889,1.522222222
COMMUNITY HEALTH SYSTEMS INC,2000-06-09,New York Stock Exchange,243750000,13,18750000,CYH,0.01401863,0.046728979,0.210280359,0.747663569
CHARLES RIVER LABORATORIES INTERNATIONAL INC,2000-06-23,New York Stock Exchange,224000000,16,14000000,CRL,0.115384615,0.086538462,0.240384615,0.173076923
QUALSTAR CORP,2000-06-23,NASDAQ,17500000,7,2500000,QBAK,0.082644628,-0.02892562,0.289256198,0.450413223
AXCELIS TECHNOLOGIES INC,2000-07-11,NASDAQ,341000000,22,15500000,ACLS,-0.1,-0.113636364,-0.384090909,-0.625
SOHU COM INC,2000-07-12,NASDAQ,59800000,13,4600000,SOHU,0.007198109,-0.19664344,-0.501197127,-0.597120756
SRTI BLOCKCHAIN GENERATION INC,2000-07-13,NASDAQ,60000000,15,4000000,SRTI,0.411290323,0.768145161,0.426409677,-0.370464516
PAIN THERAPEUTICS INC,2000-07-14,NASDAQ,60000000,12,5000000,PTIE,0.581896552,0.517241379,0.275862069,0.370689655
"SUPPORT.COM, INC.",2000-07-19,NASDAQ,59500000,14,4250000,SPRT,0.31372549,0.333333333,0.102941176,-0.21507451
SMTC CORP,2000-07-21,NASDAQ,176000000,16,11000000,SMTX,0.104166667,0.044642857,0.12202381,0.050595238
ARENA PHARMACEUTICALS INC,2000-07-28,NASDAQ,108000000,18,6000000,ARNA,-0.03125,-0.013020833,0.236979167,0.255208333
CAMTEK LTD,2000-07-28,NASDAQ,39200000,7,5600000,CAMT,-0.038461538,0.057692308,0.413461538,0.240384615
ILLUMINA INC,2000-07-28,NASDAQ,96000000,16,6000000,ILMN,0.280334728,0.522486962,0.341004184,0.146443515
ENTRAVISION COMMUNICATIONS CORP,2000-08-02,New York Stock Exchange,759000000,16.5,46000000,EVC,-0.033557047,0.046979866,0.040268456,-0.167785235
DELTAGEN INC,2000-08-03,NASDAQ,105000000,15,7000000,DGEN,-0.052631579,-0.207210526,0.519736842,-0.157894737
EROOMSYSTEM TECHNOLOGIES INC,2000-08-03,NASDAQ,11700000,6.5,1800000,ERMS,-0.029411765,-0.058823529,-0.078431373,-0.529411765
LANTRONIX INC,2000-08-04,NASDAQ,60000000,10,6000000,LTRX,-0.044117647,-0.029411765,0.183823529,-0.349264706
MEDICINES CO /DE,2000-08-08,NASDAQ,96000000,16,6000000,MDCO,0.24738676,0.101045296,0.344947735,0.658536585
EQUINIX INC,2000-08-11,NASDAQ,240000000,12,20000000,EQIX,0.026956895,-0.017160752,0.083333333,-0.274509804
DURECT CORP,2000-09-28,NASDAQ,84000000,12,7000000,DRRX,-0.220149254,-0.182835821,-0.253731343,-0.246268657
MONSANTO CO /NEW/,2000-10-18,New York Stock Exchange,700000000,20,35000000,MON,0.1,0.10625,0.2125,0.5375
WIPRO LTD,2000-10-19,New York Stock Exchange,113795000,41.38,2750000,WIT,0.106741366,0.09971912,0.233146332,0.255617721
RIGEL PHARMACEUTICALS INC,2000-11-29,NASDAQ,35000000,7,5000000,RIGL,-0.034482759,0.077586207,0.245682759,-0.362068966
GARMIN LTD,2000-12-08,NASDAQ,147000000,14,10500000,GRMN,0.434782609,0.280632411,0.132407905,0.312252964
RESOURCES CONNECTION INC,2000-12-15,NASDAQ,78000000,12,6500000,RECN,0.174311927,0.220183486,0.651376147,0.385321101
PEETS COFFEE & TEA INC,2001-01-25,NASDAQ,26400000,8,3300000,PEET,0.2300123,0.414514145,0.061500615,0.136531365
"OIL STATES INTERNATIONAL, INC",2001-02-09,New York Stock Exchange,90000000,9,10000000,OIS,0.013888973,0.010411139,0.371522288,0.216666728
ACCENTURE PLC,2001-07-19,New York Stock Exchange,1667500000,14.5,115000000,ACN,-0.003311258,-0.009933775,-0.021192053,0.124503311
MEDCATH CORP,2001-07-24,NASDAQ,150000000,25,6000000,MDTH,0.025589764,0.02754894,-0.18632547,-0.240303878
PRINCIPAL FINANCIAL GROUP INC,2001-10-23,New York Stock Exchange,1850000000,18.5,100000000,PFG,0.029268293,0.043902439,0.085365854,0.185365805
WEIGHT WATCHERS INTERNATIONAL INC,2001-11-15,New York Stock Exchange,417600000,24,17400000,WTW,-0.008075337,0.048115782,0.128869453,0.211305559
PRUDENTIAL FINANCIAL INC,2001-12-13,New York Stock Exchange,3025000000,27.5,110000000,PRU,0.027491409,0.0395189,0.056701031,0.052577285
SYNAPTICS INC,2002-01-29,NASDAQ,55000000,11,5000000,SYNA,0.004576659,-0.001525629,-0.022120481,0.437833753
MANTECH INTERNATIONAL CORP,2002-02-07,NASDAQ,115200000,16,7200000,MANT,0.076023392,0.143274795,0.102339181,0.256725146
GAMESTOP HOLDINGS CORP,2002-02-13,New York Stock Exchange,324999990,18,18055555,GME,0.057142857,0.022337662,0.091948052,0.194805195
JETBLUE AIRWAYS CORP,2002-04-12,NASDAQ,158400009,27,5866667,JBLU,0.2086887,0.184168407,0.305970107,0.180437107
VERINT SYSTEMS INC,2002-05-16,NASDAQ,72000000,16,4500000,VRNT,-0.103685197,-0.315427858,-0.259837601,-0.462835728
COMPUTER PROGRAMS & SYSTEMS INC,2002-05-21,NASDAQ,49500000,16.5,3000000,CPSI,0.042285714,0.085714286,0.148,0.183999943
LIQUIDMETAL TECHNOLOGIES INC,2002-05-22,NASDAQ,75000000,15,5000000,LQMT,0.005996003,0.015323118,0.062624917,-0.558960693
NETFLIX INC,2002-05-23,NASDAQ,82500000,15,5500000,NFLX,0.050030741,-0.067326226,-0.150710506,-0.200123829
"OVERSTOCK.COM, INC",2002-05-30,NASDAQ,39000000,13,3000000,OSTK,-0.03871439,-0.104455807,-0.006574142,-0.485025566
PACER INTERNATIONAL INC,2002-06-13,NASDAQ,210000000,15,14000000,PACR,0.016666667,0.1,0.094666667,-0.152
BIG 5 SPORTING GOODS CORP,2002-06-25,NASDAQ,104650000,13,8050000,BGFV,0.006917756,0.029976941,-0.196003075,-0.300538048
DICKS SPORTING GOODS INC,2002-10-16,New York Stock Exchange,87471780,12,7289315,DKS,0.183006536,0.176470588,0.352124183,0.772875817
NATURAL GAS SERVICES GROUP INC,2002-10-22,American Stock Exchange,7500000,5,1500000,NGS,-0.076923077,-0.120879121,-0.175824176,-0.131868132
PRA GROUP INC,2002-11-08,NASDAQ,50700000,13,3900000,PRAA,0.037288065,0.155932057,0.284745743,0.525423625
ON TRACK INNOVATIONS LTD,2002-11-12,NASDAQ,4843197,6.92,699884,OTIV,0.04516129,-0.070967742,-0.4,-0.451612903
CME GROUP INC.,2002-12-06,New York Stock Exchange,166287450,35,4751070,CME,0.094871795,0.125897436,0.230769231,0.07974359
PROVIDENT FINANCIAL SERVICES INC,2003-01-16,New York Stock Exchange,596183000,10,59618300,PFS,0.006557377,0.029508197,-0.012459016,0.055737705
INFINITY PROPERTY & CASUALTY CORP,2003-02-12,NASDAQ,198048000,16,12378000,IPCC,-0.011875,-0.001875,0.022500063,0.3175
FORMFACTOR INC,2003-06-12,NASDAQ,84000000,14,6000000,FORM,-0.074210526,-0.052631579,0.023684263,0.035263158
MOLINA HEALTHCARE INC,2003-07-02,New York Stock Exchange,115500000,17.5,6600000,MOH,-0.030952357,0.071428571,0.202381,0.197619
CHUNGHWA TELECOM CO LTD,2003-07-18,New York Stock Exchange,1374160000,14.24,96500000,CHT,0.010067108,-0.023489847,-0.07181205,0.016778585
"NETGEAR, INC",2003-07-31,NASDAQ,98000000,14,7000000,NTGR,-0.060052219,-0.115926893,-0.072584856,-0.079895509
CAPITALSOURCE INC,2003-08-07,New York Stock Exchange,308850000,14.5,21300000,CSE,0.090047458,0.0693128,0.030805748,0.302132779
NATIONAL FINANCIAL PARTNERS CORP,2003-09-18,New York Stock Exchange,208540494,23,9066978,NFP,0.003809524,0.021714286,0.017904724,-0.047619048
ACUSPHERE INC,2003-10-08,NASDAQ,52500000,14,3750000,ACUS,-0.116729072,-0.222846427,-0.433832717,-0.445068641
CENTENNIAL SPECIALTY FOODS CORP,2003-10-29,NASDAQ,7750000,5,1550000,CHLE,0.044444444,0.046666667,-0.111111111,-0.304444444
MARLIN BUSINESS SERVICES CORP,2003-11-12,NASDAQ,61600000,14,4400000,MRLN,0.035920462,0.048749198,0.132135985,0.167415074
WHITING PETROLEUM CORP,2003-11-20,New York Stock Exchange,232500000,15.5,15000000,WLL,-0.008536555,-0.00304872,0.082317106,0.283536564
CONNS INC,2003-11-25,NASDAQ,58100000,14,4150000,CONN,0.007270324,0.090548579,0.011235955,0.074025116
SYNNEX CORP,2003-11-25,New York Stock Exchange,78300000,14.5,5400000,SNX,0.010600707,-0.021201413,-0.001413428,0.360424028
AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,2003-12-04,New York Stock Exchange,168300000,9,18700000,AEL,0.005555556,0.014444444,0.144444444,0.316666667
CTRIP COM INTERNATIONAL LTD,2003-12-09,NASDAQ,75600000,18,4200000,CTRP,0.426488963,0.441066222,0.556018326,0.300708038
COMPASS MINERALS INTERNATIONAL INC,2003-12-12,New York Stock Exchange,188500000,13,14500000,CMP,0.057692308,0.078461538,0.1,0.265384692
"TEMPUR SEALY INTERNATIONAL, INC.",2003-12-18,New York Stock Exchange,262500000,14,18750000,TPX,0.085714286,0.064285714,0.187142929,0.1
GTX INC /DE/,2004-02-03,NASDAQ,78300000,14.5,5400000,GTXI,-0.155206287,-0.14210871,-0.233791749,-0.086444008
ASSET ACCEPTANCE CAPITAL CORP,2004-02-05,NASDAQ,105000000,15,7000000,AACC,0.00240102,0.026410564,0.073229232,0.121248499
ASSURANT INC,2004-02-05,New York Stock Exchange,1760000000,22,80000000,AIZ,0.040421011,0.018526358,0.053473684,0.034105221
DYNAVAX TECHNOLOGIES CORP,2004-02-19,NASDAQ,45000000,7.5,6000000,DVAX,0.149397614,0.053012072,-0.060240964,-0.190361482
TNS INC,2004-03-16,New York Stock Exchange,79560000,18,4420000,TNS,-0.026486486,-0.014594595,0.117837838,0.227027081
"CAPLEASE, INC.",2004-03-19,New York Stock Exchange,210000000,10.5,20000000,LSE,0.035521236,-0.020849421,-0.146718147,-0.223938224
CUTERA INC,2004-03-31,NASDAQ,49448000,14,3532000,CUTR,-0.037011652,-0.026730637,0.016449623,-0.095270733
MARCHEX INC,2004-03-31,NASDAQ,26000000,6.5,4000000,MCHX,0.234042553,0.594414894,0.748670213,0.628989362
ARBOR REALTY TRUST INC,2004-04-07,New York Stock Exchange,125450000,20,6272500,ABR,0.022443941,-0.030922645,-0.022443842,-0.003990025
INTERSECTIONS INC,2004-04-30,NASDAQ,106250000,17,6250000,INTX,0.130952381,0.127142857,0.083333333,-0.185714286
GREENHILL & CO INC,2004-05-06,New York Stock Exchange,87500000,17.5,5000000,GHL,0.025,-0.055,0.02749995,0.02
ACADIA PHARMACEUTICALS INC,2004-05-27,NASDAQ,35000000,7,5000000,ACAD,-0.075268817,-0.112903226,-0.134408602,-0.233870968
CORNERSTONE THERAPEUTICS INC,2004-05-27,NASDAQ,42000000,7,6000000,CRTX,-0.022038541,-0.026170813,-0.028925593,-0.334710739
DIGIRAD CORP,2004-06-10,NASDAQ,66000000,12,5500000,DRAD,-0.018302829,-0.176372712,-0.247088186,-0.172212978
MOMENTA PHARMACEUTICALS INC,2004-06-22,NASDAQ,34775000,6.5,5350000,MNTA,0.182222222,0.328888889,0.296296296,0.256296296
SENOMYX INC,2004-06-22,NASDAQ,36000000,6,6000000,SNMX,0.03875969,-0.041860465,-0.063565891,0.255813953
SALESFORCE COM INC,2004-06-23,New York Stock Exchange,110000000,11,10000000,CRM,0.17,0.093333333,-0.23,0.08
GOL INTELLIGENT AIRLINES INC.,2004-06-24,New York Stock Exchange,202266000,17,11898000,GOL,-0.030851065,-0.095744633,-0.095744633,0.117021336
"WELLCARE HEALTH PLANS, INC.",2004-07-01,New York Stock Exchange,124666661,17,7333333,WCG,0.009326477,0.04663223,0.018134768,0.002590726
HOLLY ENERGY PARTNERS LP,2004-07-08,New York Stock Exchange,135725000,22.25,6100000,HEP,0.05106383,0.064255319,0.110638298,0.246808511
DOMINOS PIZZA INC,2004-07-13,New York Stock Exchange,339107006,14,24221929,DPZ,-0.035714286,-0.034285714,-0.021428571,0.090714286
"QC HOLDINGS, INC.",2004-07-16,NASDAQ,70000000,14,5000000,QCCO,0.048275862,0.051724138,-0.162068966,0.117241448
"LG DISPLAY CO., LTD.",2004-07-22,New York Stock Exchange,748800000,15,49920000,LPL,-0.027777778,-0.013888889,0.107638889,-0.003472222
MANNKIND CORP,2004-07-28,NASDAQ,87500000,14,6250000,MNKD,-0.090322581,-0.091612877,-0.135483871,-0.051612903
VOLTERRA SEMICONDUCTOR CORP,2004-07-29,NASDAQ,36000000,8,4500000,VLTR,0.024691358,0.012345679,-0.001234568,0.779012346
GOOGLE INC.,2004-08-19,NASDAQ,1666429420,85,19605052,GOOG,0.010099986,0.04950001,0.144200023,0.852299959
STONEMOR PARTNERS LP,2004-09-15,NASDAQ,75337500,20.5,3675000,STON,-0.029464286,-0.057589241,-0.037946473,-0.087499955
BEACON ROOFING SUPPLY INC,2004-09-23,NASDAQ,175500000,13,13500000,BECN,0.089593421,0.123363271,0.171605795,0.461061353
